河南央卫,#genre#
北京卫视,http://106.46.112.131:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=0&authid=0
四川卫视,http://106.46.112.131:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://106.46.112.131:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://106.46.112.131:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://106.46.112.131:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://106.46.112.131:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视,http://106.46.112.131:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=0&authid=0
湖北卫视,http://106.46.112.131:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0
天津卫视,http://106.46.112.131:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0
陕西卫视,http://106.46.112.131:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=0&authid=0
东南卫视,http://106.46.112.131:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=0&authid=0
金鹰卡通,http://106.46.112.131:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0

湖南央卫,#genre#

CCTV1-综合,http://175.11.73.55:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://175.11.73.55:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://175.11.73.55:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://116.128.251.182:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&down=1
CCTV5-体育,http://175.11.73.55:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://175.11.73.55:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-军农,http://175.11.73.55:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://175.11.73.55:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://116.128.251.182:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&down=1
CCTV10-科教,http://116.128.251.182:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&down=1
CCTV12-社会与法,http://116.128.251.182:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&down=1
CCTV13-新闻,http://116.128.251.182:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&down=1
CCTV14-少儿,http://116.128.251.182:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&down=1
CCTV15-音乐,http://116.128.251.182:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&down=1
CCTV5+体育赛事,http://175.11.73.55:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://116.128.251.182:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&down=1
江苏卫视,http://175.11.73.55:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://175.11.73.55:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://175.11.73.55:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
